ticket,open_time,type,size,symbol,open_price,sl,tp,close_time,close_price,commission,taxes,swap,profit,comment
107375039,2026.01.08 03:00:35,sell,1.00,xauusd,4445.41,4449.90,4434.90,2026.01.08 03:01:43,4449.90,0.00,0.00,0.00,-449.00,#999777 SMC BE[sl]
107399320,2026.01.08 14:01:09,sell,1.00,xauusd,4419.59,4419.07,4409.67,2026.01.08 14:01:32,4419.07,0.00,0.00,0.00,52.00,#999777 SMC Trail[sl]
107399322,2026.01.08 14:01:09,sell,1.00,xauusd,4419.59,4419.59,4409.67,2026.01.08 14:03:25,4419.59,0.00,0.00,0.00,0.00,#999777 SMC BE[sl]
107416309,2026.01.08 17:05:58,buy,1.00,xauusd,4439.98,4440.66,4449.81,2026.01.08 17:07:11,4440.66,0.00,0.00,0.00,68.00,#999777 SMC Trail[sl]
107416314,2026.01.08 17:05:59,buy,1.00,xauusd,4439.82,4439.82,4449.81,2026.01.08 17:07:16,4439.82,0.00,0.00,0.00,0.00,#999777 SMC BE[sl]
107430604,2026.01.08 22:23:40,buy,1.00,xauusd,4465.53,4467.45,4475.49,2026.01.08 22:25:46,4467.45,0.00,0.00,0.00,192.00,#999777 SMC Trail[sl]
107430608,2026.01.08 22:23:41,buy,1.00,xauusd,4465.48,4465.48,4475.49,2026.01.08 22:31:43,4475.49,0.00,0.00,0.00,1 001.00,#999777 SMC BE[tp]
107454827,2026.01.09 11:20:24,buy,1.00,xauusd,4477.70,4472.72,4487.72,2026.01.09 11:33:50,4472.72,0.00,0.00,0.00,-498.00,#999777 SMC Trail[sl]
107454828,2026.01.09 11:20:24,buy,1.00,xauusd,4477.70,4472.72,4487.72,2026.01.09 11:33:50,4472.72,0.00,0.00,0.00,-498.00,#999777 SMC BE[sl]
107459562,2026.01.09 14:33:06,sell,1.00,xauusd,4463.87,4462.85,4453.94,2026.01.09 14:33:10,4462.85,0.00,0.00,0.00,102.00,#999777 SMC Trail[sl]
107459566,2026.01.09 14:33:06,sell,1.00,xauusd,4463.92,4463.92,4453.94,2026.01.09 14:33:48,4463.92,0.00,0.00,0.00,0.00,#999777 SMC BE[sl]
107491410,2026.01.12 01:00:20,buy,1.00,xauusd,4519.00,4522.00,4529.00,2026.01.12 01:01:00,4522.00,0.00,0.00,0.00,300.00,#999777 SMC Trail[sl]
107491423,2026.01.12 01:00:20,buy,1.00,xauusd,4519.05,4519.05,4529.00,2026.01.12 01:01:13,4519.05,0.00,0.00,0.00,0.00,#999777 SMC BE[sl]
107532681,2026.01.12 15:07:40,buy,1.00,xauusd,4599.46,4600.37,4609.62,2026.01.12 15:08:01,4600.37,0.00,0.00,0.00,91.00,#999777 SMC Trail[sl]
107532682,2026.01.12 15:07:40,buy,1.00,xauusd,4599.55,4599.55,4609.62,2026.01.12 15:15:52,4609.62,0.00,0.00,0.00,1 007.00,#999777 SMC BE[tp]
107558526,2026.01.13 01:12:27,sell,1.00,xauusd,4577.97,4583.15,4568.15,2026.01.13 01:13:54,4583.15,0.00,0.00,0.00,-518.00,#999777 SMC Trail[sl]
107558528,2026.01.13 01:12:27,sell,1.00,xauusd,4578.35,4583.15,4568.15,2026.01.13 01:13:54,4583.15,0.00,0.00,0.00,-480.00,#999777 SMC BE[sl]
107579062,2026.01.13 08:40:14,sell,1.00,xauusd,4575.51,4574.41,4565.44,2026.01.13 08:41:47,4574.41,0.00,0.00,0.00,110.00,#999777 SMC Trail[sl]
107579063,2026.01.13 08:40:14,sell,1.00,xauusd,4575.43,4575.43,4565.44,2026.01.13 08:41:55,4575.43,0.00,0.00,0.00,0.00,#999777 SMC BE[sl]
107599147,2026.01.13 15:08:13,buy,1.00,xauusd,4597.40,4598.09,4607.43,2026.01.13 15:09:55,4598.09,0.00,0.00,0.00,69.00,#999777 SMC Trail[sl]
107599150,2026.01.13 15:08:13,buy,1.00,xauusd,4597.30,4597.30,4607.43,2026.01.13 15:10:22,4597.30,0.00,0.00,0.00,0.00,#999777 SMC BE[sl]
107634299,2026.01.13 22:32:55,sell,1.00,xauusd,4580.76,4578.84,4570.82,2026.01.13 22:33:54,4578.84,0.00,0.00,0.00,192.00,#999777 SMC Trail[sl]
107634300,2026.01.13 22:32:55,sell,1.00,xauusd,4580.81,4580.81,4570.82,2026.01.13 22:35:01,4570.82,0.00,0.00,0.00,999.00,#999777 SMC BE[tp]
107655959,2026.01.14 07:02:07,buy,1.00,xauusd,4638.07,4638.58,4646.37,2026.01.14 07:02:57,4638.58,0.00,0.00,0.00,51.00,#999777 SMC Trail[sl]
107655967,2026.01.14 07:02:14,buy,1.00,xauusd,4636.77,4636.77,4646.37,2026.01.14 07:05:02,4636.77,0.00,0.00,0.00,0.00,#999777 SMC BE[sl]
107675784,2026.01.14 14:59:03,buy,1.00,xauusd,4641.04,4636.22,4651.22,2026.01.14 15:00:31,4636.22,0.00,0.00,0.00,-482.00,#999777 SMC Trail[sl]
107675790,2026.01.14 14:59:04,buy,1.00,xauusd,4640.86,4636.22,4651.22,2026.01.14 15:00:31,4636.22,0.00,0.00,0.00,-464.00,#999777 SMC BE[sl]
